"","paths","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","paths.noko","paths.nok","V4"
"1","K00004",27.8681633949194,2.20748227513284,0.607839618292003,3.63168541289847,0.00028157624320381,0.0147638005210613,"K00004","00004","BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]"
"2","K00131",25.3369276684192,2.32824544674385,0.82312881666088,2.82853108725881,0.00467621592062191,0.0980204426662758,"K00131","00131","gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]"
"3","K00137",3.76553602131956,4.00050958401501,1.42189850912431,2.81349868386792,0.00490055867687353,0.0980204426662758,"K00137","00137","prr; aminobutyraldehyde dehydrogenase [EC:1.2.1.19]"
"4","K00346",25.4652911005618,2.73809184317049,0.675630193852887,4.05264872423196,5.06410107575625e-05,0.00449740935714958,"K00346","00346","nqrA; Na+-transporting NADH:ubiquinone oxidoreductase subunit A [EC:7.2.1.1]"
"5","K00367",4.86187883210254,-5.24471571423607,1.48289148240755,-3.53681693937644,0.000404980263335153,0.0178093336771499,"K00367","00367","narB; ferredoxin-nitrate reductase [EC:1.7.7.2]"
"6","K00435",14.7762334999201,1.56120289612904,0.574088927079548,2.7194443621671,0.00653916949774987,0.0980709222177528,"K00435","00435","hemQ; hydrogen peroxide-dependent heme synthase [EC:1.3.98.5]"
"7","K00436",4.62137291928288,-5.17099851043,1.62674119065952,-3.1787468960158,0.00147913187788285,0.0448094785005288,"K00436","00436","hoxH; NAD-reducing hydrogenase large subunit [EC:1.12.1.2]"
"8","K00464",13.4619347359727,-3.70358310681996,1.35949747290107,-2.7242294896781,0.00644517045607423,0.0980204426662758,"K00464","00464","diox1; all-trans-8'-apo-beta-carotenal 15,15'-oxygenase [EC:1.13.11.75]"
"9","K00491",16.2575455018134,1.8356284219601,0.591561296714932,3.10302318991073,0.00191554629780115,0.0524839979248947,"K00491","00491","nos; nitric-oxide synthase, bacterial [EC:1.14.14.47]"
"10","K00514",13.4619347359727,-3.70358310681996,1.35949747290107,-2.7242294896781,0.00644517045607423,0.0980204426662758,"K00514","00514","ZDS, crtQ; zeta-carotene desaturase [EC:1.3.5.6]"
"11","K00518",14.713039491513,-3.10546631819121,0.987934211189198,-3.14339384446773,0.00167000976956698,0.0470439341015149,"K00518","00518","sodN; nickel superoxide dismutase [EC:1.15.1.1]"
"12","K00524",13.4619347359727,-3.70358310681996,1.35949747290107,-2.7242294896781,0.00644517045607423,0.0980204426662758,"K00524","00524","nrdJ; ribonucleotide reductase, class II [EC:1.17.4.1]"
"13","K00557",29.7643849020145,2.36146188974609,0.718719761525248,3.28565042477009,0.0010174719810058,0.0359962635868307,"K00557","00557","trmA; tRNA (uracil-5-)-methyltransferase [EC:2.1.1.35]"
"14","K00561",6.84086194074145,1.87380787826134,0.691005430285593,2.7117122328357,0.00669366752819259,0.0991863288892233,"K00561","00561","ermC, ermA; 23S rRNA (adenine-N6)-dimethyltransferase [EC:2.1.1.184]"
"15","K00569",31.0887575427392,2.86856937284459,0.669030560834029,4.28765073043683,1.80572723253579e-05,0.00204032490083973,"K00569","00569","TPMT, tpmT; thiopurine S-methyltransferase [EC:2.1.1.67]"
"16","K00984",16.2159600539604,5.32093324335631,0.950906441525586,5.59564328412759,2.19805226911827e-08,8.53172048967589e-06,"K00984","00984","aadA; streptomycin 3""-adenylyltransferase [EC:2.7.7.47]"
"17","K01150",32.6013471078111,2.64915353914155,0.754197864437711,3.51254447149173,0.000443837719676924,0.0193619766831861,"K01150","01150","endA; deoxyribonuclease I [EC:3.1.21.1]"
"18","K01179",107.419129353737,1.39465798451077,0.322955491484629,4.31842164410803,1.5714899339594e-05,0.0018954239176014,"K01179","01179","E3.2.1.4; endoglucanase [EC:3.2.1.4]"
"19","K01194",20.5421745495794,2.67388120948041,0.813161744684021,3.28825258561497,0.00100811349254983,0.0359296919926418,"K01194","01194","TREH, treA, treF; alpha,alpha-trehalase [EC:3.2.1.28]"
"20","K01270",63.9643941493788,-1.96652049128781,0.582242403914683,-3.37749445603067,0.000731494276349881,0.0286146222382756,"K01270","01270","pepD; dipeptidase D [EC:3.4.13.-]"
"21","K01437",16.040944731625,-2.9624634077541,0.846272798165467,-3.50060100499043,0.000464210287318192,0.0200400658283371,"K01437","01437","ASPA, aspA; aspartoacylase [EC:3.5.1.15]"
"22","K01463",6.39962718648579,5.95634652910065,1.66873662950659,3.56937483350013,0.000357834132669229,0.0169675610908287,"K01463","01463","bshB1; N-acetylglucosamine malate deacetylase 1 [EC:3.5.1.-]"
"23","K01573",23.7634951255344,2.72023334102801,0.691235138441408,3.93532271400666,8.30849775597392e-05,0.00604753702007533,"K01573","01573","oadG; oxaloacetate decarboxylase (Na+ extruding) subunit gamma"
"24","K01582",33.7661153902931,-1.59451700455084,0.569953067054974,-2.79762860614108,0.00514792684367076,0.0980204426662758,"K01582","01582","E4.1.1.18, ldcC, cadA; lysine decarboxylase [EC:4.1.1.18]"
"25","K01766",24.6989279385913,2.51938712961642,0.788869493109157,3.19366783938723,0.00140477650406997,0.0447967618520091,"K01766","01766","csdA; cysteine sulfinate desulfinase [EC:4.4.1.-]"
"26","K01800",32.7424973014244,2.26744640967785,0.604315059178744,3.75209317596565,0.000175364259945442,0.0103990360553136,"K01800","01800","maiA, GSTZ1; maleylacetoacetate isomerase [EC:5.2.1.2]"
