"","paths","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","paths.noko","V3"
"1","ko00071",20945.5702294818,0.0926294897188285,0.0351123522051008,2.63808841907698,0.00833748399381901,0.0895811418644507,"00071","Fatty acid degradation"
"2","ko00072",7878.73509136809,0.0864186850930683,0.0324314153964899,2.66465968372203,0.00770662682968024,0.0895811418644507,"00072","Synthesis and degradation of ketone bodies"
"3","ko00230",44896.6366118422,-0.0619870791966113,0.0243637145216531,-2.54423762606152,0.0109516553102029,0.0895811418644507,"00230","Purine metabolism"
"4","ko00240",27353.262896174,-0.10296125554916,0.0366026148300466,-2.81294809202102,0.00490895748330611,0.0895811418644507,"00240","Pyrimidine metabolism"
"5","ko00280",25348.7201390712,0.0527930570319774,0.0171243535706583,3.08292262327703,0.00204978444469115,0.0895811418644507,"00280","Valine, leucine and isoleucine degradation"
"6","ko00281",4492.55954021272,0.0677668367968074,0.0271487057000856,2.49613508450216,0.0125554778011922,0.0895811418644507,"00281","Geraniol degradation"
"7","ko00310",15215.6439459199,0.0836748087416826,0.0336957835716323,2.48324270494562,0.0130192349073879,0.0895811418644507,"00310","Lysine degradation"
"8","ko00333",6613.9028985645,0.051776242818182,0.0213958536413434,2.41991947066483,0.0155239445432045,0.0923577769020761,"00333","Prodigiosin biosynthesis"
"9","ko00350",13812.6757269224,0.0880006499577751,0.0320006620988451,2.74996341281798,0.00596019191923831,0.0895811418644507,"00350","Tyrosine metabolism"
"10","ko00360",22560.4851280105,0.112018548741292,0.0492697149805887,2.27357817648073,0.0229913608350527,0.0965637155072212,"00360","Phenylalanine metabolism"
"11","ko00364",2951.11690186542,0.137570966716076,0.0578995216708623,2.37602941692882,0.0175000675858664,0.0923577769020761,"00364","Fluorobenzoate degradation"
"12","ko00380",19928.4607327577,0.101030201673276,0.0433363191532232,2.33130555726401,0.0197372534024868,0.0923577769020761,"00380","Tryptophan metabolism"
"13","ko00410",13809.6792048874,0.0917407752387379,0.0405434985350733,2.26277402181696,0.0236496230976964,0.0969057726929999,"00410","beta-Alanine metabolism"
"14","ko00480",16597.3515361218,0.0420371818849931,0.0175359045656815,2.39720635611017,0.0165206167746812,0.0923577769020761,"00480","Glutathione metabolism"
"15","ko00500",12719.7452563816,-0.115504719351345,0.0524334308790038,-2.20288311130899,0.0276029882683968,0.0986660006189504,"00500","Starch and sucrose metabolism"
"16","ko00550",12570.9648038683,-0.0834834283652057,0.0377925096498666,-2.20899403449647,0.0271750558404259,0.0986660006189504,"00550","Peptidoglycan biosynthesis"
"17","ko00625",7048.57861640828,0.0978470293176157,0.0372962459963417,2.62350879300864,0.0087029198597348,0.0895811418644507,"00625","Chloroalkane and chloroalkene degradation"
"18","ko00650",27925.4947503445,0.0601196861772855,0.0254515325895071,2.36212440118718,0.0181705436506168,0.0923577769020761,"00650","Butanoate metabolism"
"19","ko00670",8064.21345693449,-0.107384948534882,0.0423744286610609,-2.53419224584285,0.0112706879557142,0.0895811418644507,"00670","One carbon pool by folate"
"20","ko00680",20996.0094694719,-0.0531797423654003,0.0187635693992416,-2.83420181064002,0.00459403098390148,0.0895811418644507,"00680","Methane metabolism"
"21","ko00730",6264.24376646068,-0.139504182602793,0.0478616639869108,-2.91473741157317,0.00355987929573729,0.0895811418644507,"00730","Thiamine metabolism"
"22","ko00750",3658.09524615877,-0.12257964025914,0.0504439532707609,-2.43001652945768,0.015098134248184,0.0923577769020761,"00750","Vitamin B6 metabolism"
"23","ko00903",5632.39870382077,0.119023648716126,0.0483683693221858,2.46077447687556,0.0138637481456888,0.0895811418644507,"00903","Limonene and pinene degradation"
"24","ko00930",4699.73329775389,0.111053188616391,0.0417335269549205,2.66100655083258,0.00779074413639878,0.0895811418644507,"00930","Caprolactam degradation"
"25","ko00970",47009.2057631068,-0.0637181858602709,0.0270689086951141,-2.35392518324065,0.0185763495712074,0.0923577769020761,"00970","Aminoacyl-tRNA biosynthesis"
"26","ko01040",7099.15140595537,0.0525539737860801,0.0226525430555569,2.32000326220274,0.0203407008653382,0.0923577769020761,"01040","Biosynthesis of unsaturated fatty acids"
"27","ko01212",28295.3080484014,0.0439184490551853,0.0156305509792862,2.80978252867646,0.00495749856023582,0.0895811418644507,"01212","Fatty acid metabolism"
"28","ko01502",3349.58678784603,-0.143399347911035,0.0556814857625761,-2.57535060257703,0.0100138523241139,0.0895811418644507,"01502","Vancomycin resistance"
"29","ko01523",3037.36279747073,-0.101995879096091,0.0443581055176306,-2.29937410324144,0.0214837051786474,0.0949805913161253,"01523","Antifolate resistance"
"30","ko02020",82432.4425437816,0.0591932273406638,0.0254889315138212,2.3223110513113,0.0202161929118605,0.0923577769020761,"02020","Two-component system"
"31","ko02060",4736.7278164822,-0.311204273104723,0.138847883258579,-2.24133249856724,0.0250045453563426,0.0976921772061758,"02060","Phosphotransferase system (PTS)"
"32","ko03010",36466.6358950982,-0.112647489635908,0.0410470937346048,-2.7443475137179,0.00606313154512061,0.0895811418644507,"03010","Ribosome"
"33","ko03020",2231.2865943078,-0.150184854358075,0.0559483543533391,-2.68434802227766,0.00726714148121309,0.0895811418644507,"03020","RNA polymerase"
"34","ko03030",8749.36335116055,-0.12178087847152,0.0493210696705796,-2.46914511961939,0.0135436281170162,0.0895811418644507,"03030","DNA replication"
"35","ko03060",9445.3317731894,-0.11345987804982,0.0453532023723559,-2.50169496562335,0.0123600366617437,0.0895811418644507,"03060","Protein export"
"36","ko03410",8454.27575624809,-0.0691689365167994,0.0274126872939546,-2.5232453781375,0.0116277233093819,0.0895811418644507,"03410","Base excision repair"
"37","ko03430",10145.8052534491,-0.109767175694632,0.0468638829527982,-2.34225524601089,0.0191676012489507,0.0923577769020761,"03430","Mismatch repair"
"38","ko03440",12340.4858506024,-0.116179069598835,0.0449072991827309,-2.58708654746958,0.00967912772469876,0.0895811418644507,"03440","Homologous recombination"
"39","ko04922",2501.33154007096,-0.190984238523937,0.0861315561657021,-2.21735502092307,0.0265988407860593,0.0986660006189504,"04922","Glucagon signaling pathway"
"40","ko04932",3207.49321913526,0.116112850402031,0.0365593581593418,3.17600899599934,0.00149316320765977,0.0895811418644507,"04932","Non-alcoholic fatty liver disease (NAFLD)"
"41","ko05010",3859.74751889365,0.0671173492337586,0.0246039125171063,2.72791366767762,0.00637362865768543,0.0895811418644507,"05010","Alzheimer disease"
"42","ko05012",3207.49321913526,0.116112850402031,0.0365593581593418,3.17600899599934,0.00149316320765977,0.0895811418644507,"05012","Parkinson disease"
"43","ko05016",4274.0417294181,0.0709545552825098,0.0238109106642001,2.97991774792514,0.00288325791458056,0.0895811418644507,"05016","Huntington disease"
"44","ko05204",7332.94679088046,0.103386268439527,0.045983855368,2.24831666705948,0.0245560046781367,0.0976921772061758,"05204","Chemical carcinogenesis"
"45","ko05225",7396.9057485006,0.10956050532343,0.0479500657594523,2.28488748843545,0.02231942585338,0.096145219060714,"05225","Hepatocellular carcinoma"
"46","ko05230",3138.06415926232,-0.135986304320204,0.0573483565510106,-2.3712328041911,0.0177288602126672,0.0923577769020761,"05230","Central carbon metabolism in cancer"
"47","ko05418",9382.29977693015,0.0639751167329757,0.0290371771184284,2.20321405459121,0.0275796651717166,0.0986660006189504,"05418","Fluid shear stress and atherosclerosis"
