sqs,A1,A10,A11,A12,A2,A3,A5,A6,A7,A9,B1,B10,B11,B12,B2,B3,B4,B6,B7,B9,C1,C10,C11,C3,C4,C5,C6,C7,C8,C9,D1,D10,D11,D12,D3,D5,D6,D7,D8,D9,E1,E10,E11,E12,E2,E3,E4,E5,E6,E7,E9,F1,F10,F11,F12,F2,F3,F4,F5,F6,F7,F8,G1,G10,G11,G12,G2,G3,G4,G5,G6,G7,G8,G9,H1,H10,H11,H12,H2,H3,H6,H7,H8,H9
sq1,6023,6514,2691,3438,2008,5190,7314,4387,5949,2068,4467,4338,3577,2118,2646,1655,4207,5469,3968,2741,916,5309,0,8304,6086,4885,2356,5522,4404,2511,2904,5404,5390,0,5415,3540,3018,4073,5215,5904,4153,1981,3729,2216,3667,1371,3363,650,4217,6479,6490,3603,4598,2240,3790,0,4498,3171,3682,6392,6410,6142,3671,4052,4601,7286,4834,4775,2906,3569,4787,0,5501,9875,3277,6597,4109,2709,4314,8232,4663,9231,0,5043
sq2,2154,3001,624,999,2879,1876,2638,5231,1439,401,3330,4164,1736,735,4216,2089,4156,2884,6508,3391,588,1616,1649,2311,4193,3767,840,5028,4136,1588,4371,2239,3268,4701,3127,3554,2146,4969,4045,2892,3143,1764,779,1868,4537,2620,2514,849,1080,4217,1937,5527,1194,526,1433,4888,3350,1472,2488,3247,4049,4328,3307,1080,1750,1892,1970,2300,1794,3466,2152,2278,3272,1376,1758,3809,1489,1238,1120,2145,2860,1624,4606,3704
sq3,2969,189,7052,4343,4699,3464,35,501,2456,116,94,28,4581,8763,424,4893,2018,504,23,61,65,159,6385,93,105,33,7337,24,1130,6432,597,2826,1017,182,96,2184,36,4,0,302,58,2173,4232,628,341,1560,250,9649,5136,19,2431,659,494,1264,4704,9,16,38,3520,83,4,12,103,3889,4615,402,753,3511,182,2707,4135,801,6,45,201,104,635,719,6005,54,2667,0,35,2223
sq5,17,123,3,29,34,0,0,5,8,7607,71,14,0,42,0,0,6,46,0,6,10136,3559,2,8,19,3,3,6,0,9,7,26,0,0,40,0,0,0,0,3,12,4761,4,4,8,58,2228,4,0,4,7,29,4925,1400,8,14,0,5043,3,7,9,3,838,2494,0,0,2096,4,6375,2,5,2008,5,15,4276,11,60,0,4,0,0,1,0,10
sq7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3054,0,0,0,0,0,0,0,0,0,0,4897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4476,0,0,0,0,0,0,0,0,0,0,5313,0
sq8,0,42,4,5,0,0,0,0,0,0,0,0,15,8,0,0,0,0,0,0,0,11,19,0,0,0,0,0,0,0,0,0,23,34,0,0,0,0,0,4,4,12,1587,4395,0,0,0,0,6,0,3,63,0,3574,24,5,0,0,0,22,0,0,0,0,152,38,0,20,0,0,0,0,0,0,0,0,504,0,0,0,0,0,0,21
sq9,38,127,24,50,14,69,90,194,0,4,36,221,138,41,53,148,164,22,270,128,37,39,111,113,147,248,47,142,134,127,355,278,64,549,220,293,130,45,423,812,197,170,40,104,174,101,85,18,25,311,72,199,48,19,106,484,53,95,80,109,439,229,80,26,58,101,43,38,133,183,74,68,756,72,107,103,23,58,15,164,210,150,374,62
sq10,13,28,88,40,33,15,0,56,145,0,1657,41,41,0,58,237,0,397,86,1623,0,489,20,0,0,93,0,0,45,196,51,0,57,55,37,41,35,1703,131,30,26,0,0,8,183,48,408,47,31,33,4,0,0,29,47,137,29,28,77,61,53,35,0,13,31,119,38,0,11,111,0,39,113,0,0,24,146,45,40,16,0,28,0,154
sq11,0,33,17,0,1017,198,0,906,0,18,48,0,0,37,57,161,0,517,0,0,0,28,112,0,0,21,25,0,0,352,4,0,59,23,802,0,60,0,0,98,0,18,104,48,4,332,0,7,384,6,297,38,5,43,295,4,2,0,39,0,8,0,33,129,37,0,154,0,0,25,2,150,59,81,445,0,142,6,0,0,25,29,0,0
sq12,32,23,36,31,36,25,94,57,121,5,53,187,96,17,118,22,15,0,136,416,0,18,38,0,51,352,0,34,627,15,55,0,117,5,28,130,24,88,34,0,33,0,24,4,72,1431,12,42,23,91,46,540,11,23,9,111,77,0,69,441,136,0,68,0,38,7,0,59,0,11,66,5,65,9,32,64,129,111,70,84,164,108,50,0
sq13,5,14,0,9,0,4,32,0,95,31,0,0,24,11,0,0,0,9,0,0,0,51,4,8,0,62,7,13,54,11,0,13,0,129,18,49,2308,0,0,0,0,0,4,12,53,8,0,46,35,0,24,0,15,1,8,0,53,0,22,0,0,0,17,3,17,91,0,0,0,126,7,0,11,33,5,6,39,2478,0,0,33,46,73,33
