"","id","Shannon","InvSimpson","row","col","fullname","sample","full_site","island","site","zone","site_zone"
"1","A1",1.77106895411475,4.11527210782055,"A",1,"MNWI_A1",51,"Moorea NE Inner","Moorea","MNW","in","MNWI"
"2","A10",1.99732128338448,3.82237491459553,"A",10,"MSEI_A10",308,"Moorea SE Inner","Moorea","MSE","in","MSEI"
"3","A11",1.77751911711357,3.19091370381207,"A",11,"MSEO_A11",600,"Moorea SE Outer","Moorea","MSE","out","MSEO"
"4","A12",2.53908015284067,5.93322296390711,"A",12,"MSEO_A12",617,"Moorea SE Outer","Moorea","MSE","out","MSEO"
"5","A2",2.00833917448416,4.30214331038168,"A",2,"MNWI_A2",73,"Moorea NE Inner","Moorea","MNW","in","MNWI"
"6","A3",1.70769823056603,3.64798178419487,"A",3,"MNWO_A3",113,"Moorea NE Outer","Moorea","MNW","out","MNWO"
"7","A5",1.85896102840819,3.35719470986084,"A",5,"TI_A5",380,"Tahiti Inner","Tahiti","TNW","in","TI"
"8","A6",1.64253850947559,3.22645151899077,"A",6,"TI_A6",525,"Tahiti Inner","Tahiti","TNW","in","TI"
"9","A7",1.98988772826689,4.36453067937438,"A",7,"TO_A7",384,"Tahiti Outer","Tahiti","TNW","out","TO"
"10","A8",2.14691885896278,3.62271544630626,"A",8,"TO_A8",408,"Tahiti Outer","Tahiti","TNW","out","TO"
"11","A9",1.59643782529839,2.48566639041152,"A",9,"MSEI_A9",276,"Moorea SE Inner","Moorea","MSE","in","MSEI"
"12","B1",2.1843746222116,5.09235538062921,"B",1,"MNWI_B1",55,"Moorea NE Inner","Moorea","MNW","in","MNWI"
"13","B10",2.41947768217354,4.89437099808006,"B",10,"MSEI_B10",310,"Moorea SE Inner","Moorea","MSE","in","MSEI"
"14","B11",2.16869193450307,4.43889414574981,"B",11,"MSEO_B11",604,"Moorea SE Outer","Moorea","MSE","out","MSEO"
"15","B12",1.19193992650087,2.09034739428811,"B",12,"MSEO_B12",618,"Moorea SE Outer","Moorea","MSE","out","MSEO"
"16","B2",2.81710848364526,5.85066298113452,"B",2,"MNWI_B2",76,"Moorea NE Inner","Moorea","MNW","in","MNWI"
"17","B3",2.2052440103916,4.61480227380037,"B",3,"MNWO_B3",115,"Moorea NE Outer","Moorea","MNW","out","MNWO"
"18","B4",1.88274973436312,3.84328738641057,"B",4,"MNWO_B4",173,"Moorea NE Outer","Moorea","MNW","out","MNWO"
"19","B5",1.99927714181125,3.49963312139842,"B",5,"TI_B5",453,"Tahiti Inner","Tahiti","TNW","in","TI"
"20","B6",1.94194243101059,3.76977122927609,"B",6,"TI_B6",526,"Tahiti Inner","Tahiti","TNW","in","TI"
"21","B7",1.69127727388441,3.19976978638679,"B",7,"TO_B7",386,"Tahiti Outer","Tahiti","TNW","out","TO"
