"","sq1","sq2","sq3","sq5","sq7","sq8","sq9","sq10","sq11","sq12","sq13","sq14","sq15","sq16","sq17","sq18","sq19","sq20","sq22","sq23","sq24","sq26","sq29","sq30","sq31","sq32","sq35","sq36","sq37","sq38","sq39","sq40","sq41","sq42","sq43","sq44","sq45","sq46","sq47","sq48","sq49","sq50","sq51","sq52","sq53","sq54","sq55","sq56","sq57","sq59","sq60","sq61","sq63","sq65","sq67","sq68","sq70","sq71","sq72","sq73","sq74","sq75","sq76","sq77","sq79","sq81","sq82","sq83","sq84","sq87","sq88","sq89","sq90","sq91","sq92","sq93","sq94","sq96","sq97","sq98","sq99","sq100","sq101","sq102","sq103","sq104","sq105","sq106","sq108","sq110","sq112","sq113","sq114","sq115","sq116","sq117","sq118","sq119","sq120","sq121","sq122","sq123","sq124","sq126","sq127","sq128","sq129","sq130","sq131","sq132","sq133","sq134","sq135","sq136","sq137","sq138","sq139","sq141","sq142","sq143","sq144","sq145","sq146","sq147","sq148","sq149","sq150","sq151","sq152","sq153","sq154","sq155","sq157","sq158","sq159","sq160","sq161","sq162","sq163","sq164","sq165","sq166","sq168","sq169","sq170","sq171","sq172","sq173","sq174","sq175","sq176","sq177","sq178","sq179","sq180","sq181","sq183","sq184","sq185","sq186","sq187","sq188","sq189","sq190","sq191","sq192","sq193","sq194","sq195","sq196","sq201","sq203","sq204","sq206","sq207","sq208","sq209","sq210","sq211","sq212","sq213","sq214","sq216","sq217","sq218","sq219","sq220","sq221","sq222","sq225","sq226","sq227","sq228","sq229","sq230"
"A1",12751,4620,6187,32,0,0,66,35,0,69,15,5,0,192,138,28,0,0,0,6,26,30,0,0,0,54,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,294,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
"A10",21738,10121,627,385,0,144,413,88,110,94,51,35,65,509,129,0,89,27,0,61,322,84,0,0,0,570,0,75,0,0,0,59,0,26,363,0,49,0,0,0,0,0,0,0,31,161,39,0,0,0,0,0,0,0,0,76,75,97,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,32,34,0,23,0,374,0,0,0,0,67,0,0,0,0,0,0,95,0,0,62,0,0,0,0,0,0,0,169,0,24,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,37,0,44,0,0,0,0,0,0
"A11",10760,2559,27948,25,0,21,111,350,59,145,0,107,541,316,62,194,0,254,0,163,0,48,0,0,0,193,0,40,0,74,0,946,58,0,0,0,0,0,31,0,0,0,0,0,136,76,0,0,246,0,48,67,0,0,0,18,0,0,205,0,0,0,176,63,0,0,0,0,0,0,0,0,0,0,0,81,0,0,3,0,0,0,25,0,0,0,0,0,40,23,0,0,79,0,0,0,0,0,0,11,0,25,0,0,0,0,0,0,13,0,0,0,0,0,0,41,0,0,0,15,18,0,0,0,0,0,11,0,0,0,0,0,0,7,0,0,10,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"A12",8342,2523,10726,63,0,13,148,98,0,56,23,10,834,0,125,0,0,412,28,29,23,47,0,13,37,60,0,15,0,275,0,0,6,0,66,0,0,3,0,0,0,0,31,0,258,0,0,0,1454,0,15,6,0,28,0,22,77,0,83,106,0,0,1038,57,0,0,10,0,41,0,0,0,44,83,0,14,10,0,48,19,0,0,0,0,0,0,29,0,43,0,0,0,4,19,0,0,0,8,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,21,0,0,0,16,26,0,0,22,0,0,0,0,12,8,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
"A2",4282,6155,10272,65,0,0,30,79,2162,77,0,192,0,155,0,115,0,0,0,237,54,0,0,120,0,143,128,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,26,19,0,0,0,33
"A3",9216,3271,6171,0,0,0,129,27,353,48,10,443,0,313,48,0,0,0,0,161,88,0,0,20,9,0,0,45,0,0,0,4,98,0,35,0,0,0,0,0,0,0,79,0,0,0,0,49,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,54,0,0,0,25,0,0,0,12,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A5",9382,3443,49,0,0,0,124,0,0,124,45,376,119,0,109,0,0,264,0,96,18,96,0,0,0,36,0,10,328,21,0,6,11,0,142,0,0,0,7,0,0,0,0,0,26,30,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,133,0,0,0,0,7,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A6",5507,6669,639,6,0,0,259,65,1129,68,0,0,0,0,134,87,0,0,20,0,50,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,21,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,36,29,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,55,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A7",6282,1519,2580,9,0,0,0,150,0,126,103,0,0,0,0,59,0,0,65,25,27,53,0,0,0,0,87,0,0,0,0,17,0,0,0,0,140,0,28,5,0,0,80,0,0,0,0,0,0,233,0,4,0,0,0,6,24,11,0,0,0,0,0,0,0,95,0,0,0,0,7,112,0,0,11,59,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,18,0,0,0,33,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,38,11,11,0,0,0,0,0,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A8",1857,5981,22,6,0,0,222,59,0,513,0,0,0,0,166,0,0,0,0,39,18,292,0,0,0,60,0,3,0,0,0,164,0,0,177,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,21,0,25,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
