"","id","Observed","Shannon","InvSimpson","row","col","fullname","sample","full_site","island","site","zone","site_zone"
"1","A1",61,1.43335724969446,2.89317063856134,"A",1,"MNWI_A1",51,"Moorea NE Inner","Moorea","MNW","in","MNWI"
"2","A10",102,1.83152468965808,2.7893342521607,"A",10,"MSEI_A10",308,"Moorea SE Inner","Moorea","MSE","in","MSEI"
"3","A11",74,1.52728795777083,2.50344388692208,"A",11,"MSEO_A11",600,"Moorea SE Outer","Moorea","MSE","out","MSEO"
"4","A12",176,2.29641127551177,4.44919162204859,"A",12,"MSEO_A12",617,"Moorea SE Outer","Moorea","MSE","out","MSEO"
"5","A2",69,1.89947362020387,4.05605810303233,"A",2,"MNWI_A2",73,"Moorea NE Inner","Moorea","MNW","in","MNWI"
"6","A3",60,1.65895643107233,3.37910186006886,"A",3,"MNWO_A3",113,"Moorea NE Outer","Moorea","MNW","out","MNWO"
"7","A5",49,1.47073107449267,2.37132233430599,"A",5,"TI_A5",380,"Tahiti Inner","Tahiti","TNW","in","TI"
"8","A6",32,1.5006547040328,3.01545559199278,"A",6,"TI_A6",525,"Tahiti Inner","Tahiti","TNW","in","TI"
"9","A7",78,1.89566176940288,3.2974325365912,"A",7,"TO_A7",384,"Tahiti Outer","Tahiti","TNW","out","TO"
"10","A9",65,1.41233903089755,2.2908630549747,"A",9,"MSEI_A9",276,"Moorea SE Inner","Moorea","MSE","in","MSEI"
"11","B1",53,1.93387992380165,4.16585663898686,"B",1,"MNWI_B1",55,"Moorea NE Inner","Moorea","MNW","in","MNWI"
"12","B10",72,2.16526129752748,3.93041162545885,"B",10,"MSEI_B10",310,"Moorea SE Inner","Moorea","MSE","in","MSEI"
"13","B11",100,1.97749225489636,3.89136245625393,"B",11,"MSEO_B11",604,"Moorea SE Outer","Moorea","MSE","out","MSEO"
"14","B12",40,0.917926817094601,1.75985072164023,"B",12,"MSEO_B12",618,"Moorea SE Outer","Moorea","MSE","out","MSEO"
"15","B2",109,2.72454805489655,5.55921193846941,"B",2,"MNWI_B2",76,"Moorea NE Inner","Moorea","MNW","in","MNWI"
"16","B3",58,2.14483074963792,4.50379331992371,"B",3,"MNWO_B3",115,"Moorea NE Outer","Moorea","MNW","out","MNWO"
"17","B4",49,1.77006751791542,3.67706784889845,"B",4,"MNWO_B4",173,"Moorea NE Outer","Moorea","MNW","out","MNWO"
"18","B6",45,1.85917660091409,3.61238016869514,"B",6,"TI_B6",526,"Tahiti Inner","Tahiti","TNW","in","TI"
"19","B7",28,1.33285192411704,2.47127978175304,"B",7,"TO_B7",386,"Tahiti Outer","Tahiti","TNW","out","TO"
"20","B9",80,2.58552933243223,6.36211965680252,"B",9,"MSEI_B9",297,"Moorea SE Inner","Moorea","MSE","in","MSEI"
"21","C1",47,0.682114235106402,1.38549951981858,"C",1,"MNWI_C1",58,"Moorea NE Inner","Moorea","MNW","in","MNWI"
"22","C10",50,1.58637468488533,3.28852715090229,"C",10,"MSEI_C10",311,"Moorea SE Inner","Moorea","MSE","in","MSEI"
"23","C11",53,1.4109005082634,2.72432828564491,"C",11,"MSEO_C11",607,"Moorea SE Outer","Moorea","MSE","out","MSEO"
"24","C3",38,1.14644366775519,1.93329882752945,"C",3,"MNWO_C3",116,"Moorea NE Outer","Moorea","MNW","out","MNWO"
"25","C4",52,1.49834048228727,2.6308301800215,"C",4,"MNWO_C4",174,"Moorea NE Outer","Moorea","MNW","out","MNWO"
"26","C5",48,1.91248218109044,3.68602292870085,"C",5,"TI_C5",455,"Tahiti Inner","Tahiti","TNW","in","TI"
"27","C6",52,1.324735843901,2.36787932234582,"C",6,"TI_C6",527,"Tahiti Inner","Tahiti","TNW","in","TI"
"28","C7",46,1.37833580458379,2.57690726032883,"C",7,"TO_C7",389,"Tahiti Outer","Tahiti","TNW","out","TO"
"29","C8",48,1.86581496948264,3.75789137616644,"C",8,"TO_C8",414,"Tahiti Outer","Tahiti","TNW","out","TO"
"30","C9",65,1.57290794271337,2.85724830321119,"C",9,"MSEI_C9",300,"Moorea SE Inner","Moorea","MSE","in","MSEI"
