sq_OTU,A1,A10,A11,A12,A2,A3,A5,A6,A7,A8,A9,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B9,C1,C10,C11,C2,C3,C4,C5,C6,C7,C8,C9,D1,D10,D11,D12,D3,D4,D5,D6,D7,D8,D9,E1,E10,E11,E12,E2,E3,E4,E5,E6,E7,E8,E9,F1,F10,F11,F12,F2,F3,F4,F5,F6,F7,F8,F9,G1,G10,G11,G12,G2,G3,G4,G5,G6,G7,G8,G9,H1,H10,H11,H12,H2,H3,H4,H5,H6,H7,H8,H9
sq1,12751,21738,10760,8342,4282,9216,9382,5507,6282,1857,10623,5284,8805,14694,5733,4525,2227,7182,664,6031,4066,3088,4694,2053,16170,0,1552,18383,8726,8595,4882,6824,4539,7381,4458,16227,9240,0,9159,2935,5108,5057,6025,6697,15309,9307,5932,7567,5110,4004,2177,6420,1711,7228,7523,0,38764,4257,15091,7201,11770,0,8575,7340,7644,11065,11542,7564,98,6646,10379,14080,24556,10752,10944,5311,7436,8883,0,7108,26597,7846,9479,9633,5777,7895,14086,3121,4419,5097,16721,0,6474
sq2,4620,10121,2559,2523,6155,3271,3443,6669,1519,5981,2053,3914,8421,7187,2161,7245,2868,7122,1693,3190,6634,4329,5834,1337,4910,5764,4647,5199,6020,6691,1735,6226,4259,4768,6639,6750,5560,5657,5222,2758,5196,3616,7278,5261,7595,7171,5259,1542,4231,5018,4174,4672,2146,1871,4954,5147,11752,6530,3947,1562,4402,13385,6406,3351,5065,5762,7329,5361,51,6053,2869,5492,6458,4286,5494,3497,7275,3959,6158,4214,3720,4123,5526,3547,2629,2066,3676,2919,1344,3108,2935,4703,4723
sq3,6187,627,27948,10726,10272,6171,49,639,2580,22,698,114,59,18398,23838,693,6753,3322,50,543,23,9,102,152,480,22924,109,226,178,50,15132,28,1165,19110,917,8470,1715,223,142,2248,3104,63,6,0,747,142,6407,8674,1420,393,2520,462,25466,9012,26,71,14772,785,1686,3999,14540,29,30,87,7148,172,7,14,41,189,9970,14220,1265,1698,8240,363,5771,7527,2192,6,125,487,157,1465,1551,11128,92,295,177,2888,0,37,2841
sq5,32,385,25,63,65,0,0,6,9,6,41236,85,31,0,113,0,0,10,0,49,0,64,14,22878,10855,13,153,27,24,7,4,9,0,25,13,89,0,0,72,0,0,0,0,0,5,21,14429,11,5,8,104,4206,9,0,5,5,53,36,16173,4366,24,49,0,11678,5,8,11,7,27,1466,6482,14,0,4617,12,11972,4,9,5515,6,35,9969,16,151,0,4,0,113,0,0,3,0,12
sq7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10831,0,0,0,0,0,0,0,0,0,0,0,5871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3586,0,0,0,0,0,5606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12008,0,0,0,0,0,0,0,0,0,0,0,0,5436,0
sq8,0,144,21,13,0,0,0,0,0,0,0,0,0,57,24,0,0,0,0,0,0,0,0,0,30,78,0,0,0,0,0,0,0,0,0,0,46,44,0,0,0,0,0,0,18,8,26,3206,10030,0,0,0,0,8,0,62,16,71,0,11388,116,8,0,0,0,30,0,0,0,0,0,452,138,0,32,0,0,0,0,0,0,0,0,1213,0,0,0,0,0,0,0,0,30
sq9,66,413,111,148,30,129,124,259,0,222,58,40,488,519,123,95,188,281,103,25,279,183,215,81,112,405,83,245,216,440,90,182,141,332,555,776,124,678,350,98,422,201,57,549,2097,427,497,69,241,190,174,163,35,54,360,314,388,229,184,62,308,1299,105,209,159,188,778,278,6,154,82,185,341,117,114,252,372,146,199,957,169,263,147,58,113,27,285,185,251,229,254,380,82
sq10,35,88,350,98,79,27,0,65,150,59,0,1934,83,161,0,98,318,0,0,442,86,93,2786,0,1504,83,67,0,0,163,0,0,45,573,85,0,96,65,63,0,56,64,2477,162,75,48,0,0,25,206,78,768,103,50,37,71,28,0,0,102,169,368,56,61,188,110,92,43,0,0,41,92,412,76,0,19,247,0,100,143,0,0,41,379,107,68,23,19,62,0,50,0,205
sq11,0,110,59,0,2162,353,0,1129,0,0,95,55,0,0,113,96,217,0,0,587,0,76,0,0,95,455,109,0,0,32,44,0,0,1037,4,0,95,30,1283,17,0,97,0,0,256,0,50,191,114,4,539,0,15,660,6,45,1972,45,22,159,895,19,2,0,68,0,18,0,0,67,334,151,0,338,0,0,58,4,421,73,244,977,0,340,17,0,0,0,180,27,38,0,0
sq12,69,94,145,56,77,48,124,68,126,513,14,60,352,378,44,196,28,29,144,0,138,74,695,0,42,151,209,0,65,653,0,38,640,62,81,0,199,5,48,34,185,46,126,43,0,88,0,61,8,77,2291,26,100,45,100,0,269,642,57,61,20,312,152,0,152,775,233,0,0,119,0,118,26,0,154,0,26,125,17,75,33,87,85,277,245,125,131,6,43,174,195,50,0
sq13,15,51,0,23,0,10,45,0,103,0,173,0,0,92,23,0,0,0,128,9,0,28,0,0,167,18,0,37,0,113,15,13,57,44,0,59,0,148,29,0,67,3950,0,0,0,0,0,11,31,60,12,0,105,64,0,0,154,0,31,3,23,0,98,0,50,0,0,0,0,36,12,53,331,0,0,0,286,13,0,21,76,14,7,88,5241,0,0,0,0,34,82,74,46
sq14,5,35,107,10,192,443,376,0,0,0,0,0,108,137,0,150,129,321,72,0,0,0,0,0,0,82,0,242,0,692,0,0,0,44,0,0,0,0,106,0,718,0,0,69,0,0,0,0,5,0,66,0,187,49,0,0,0,0,0,0,31,13,2915,5,726,86,0,0,0,372,0,125,144,0,758,14,0,0,0,44,0,1068,0,355,73,0,437,0,5,279,0,0,4
sq15,0,65,541,834,0,0,119,0,0,0,0,0,696,1486,72,0,0,0,10,0,0,0,0,0,34,136,0,0,0,154,33,0,0,0,0,0,286,88,0,0,53,0,0,23,0,0,293,25,333,0,0,0,49,38,0,0,75,0,0,138,1557,0,0,0,73,123,0,0,0,0,0,40,1213,0,0,0,0,10,0,0,0,0,0,1568,179,0,0,0,0,0,0,0,9
sq16,192,509,316,0,155,313,0,0,0,0,0,0,0,377,0,141,92,127,0,134,0,0,0,0,236,133,46,622,0,0,0,207,0,208,0,418,265,0,0,0,0,157,0,49,444,0,127,0,0,0,0,0,60,88,0,0,384,173,381,204,313,0,323,0,0,0,0,0,0,0,274,363,94,0,256,0,0,102,0,0,427,197,251,241,0,251,406,0,132,0,0,0,0
sq17,138,129,62,125,0,48,109,134,0,166,64,0,138,117,118,0,0,145,38,0,174,203,217,37,0,218,0,118,60,280,33,147,65,82,93,194,189,154,166,56,101,40,31,163,43,246,122,60,122,0,43,79,58,48,128,180,547,162,184,25,37,0,125,57,130,155,260,91,0,74,179,153,130,0,78,94,167,52,14,185,144,207,130,112,97,0,111,75,84,47,117,123,110
sq18,28,0,194,0,115,0,0,87,59,0,48,703,29,103,7,343,107,167,0,103,55,108,299,0,380,0,189,26,0,0,118,130,0,210,0,0,246,0,299,0,239,0,0,267,191,0,0,0,0,122,1836,94,0,23,0,0,0,53,0,127,0,0,108,67,79,264,0,0,0,97,11,64,122,90,49,7,0,177,0,45,0,57,62,209,0,44,0,0,41,153,0,0,5
sq19,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,1897,0,0,0,0,0,0,0,0,0,0,4546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,853,0,0,0,0,0,0,0,0,0
