"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"sq20",37.0706034707976,-7.06261540243656,2.08162167821657,-3.39284293411445,0.000691712880463765,0.0137650863212289,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium","Genus_Methylobacterium"
"sq41",14.350735850375,-27.3922471275782,2.35444250413059,-11.6342816099869,2.75903234091859e-31,5.49047435842799e-29,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_Incertae_Sedis","Phreatobacter","oligotrophus"
"sq45",2.75255916716911,30,6.96106137722854,4.30968761432529,1.63485313583152e-05,0.000464765391472104,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Anoxybacillus","Genus_Anoxybacillus"
"sq56",5.71062461281431,22.1323932192803,4.63014826182729,4.78006145110907,1.75241622447207e-06,5.81218047783235e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Ralstonia","Genus_Ralstonia"
"sq59",12.3417421384774,30,5.23081693126865,5.73524181675462,9.73733176507484e-09,4.84432255312474e-07,"Bacteria","Kingdom_Bacteria","Kingdom_Bacteria","Kingdom_Bacteria","Kingdom_Bacteria","Kingdom_Bacteria","Kingdom_Bacteria"
"sq65",6.6597681907034,-30,5.21173741909926,-5.75623781237714,8.60091982962899e-09,4.84432255312474e-07,"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Finegoldia","magna"
"sq83",9.68450917140217,30,4.38068823453771,6.84823899666667,7.47645874000572e-12,7.43907644630569e-10,"Bacteria","Bacteroidetes","Bacteroidia","Class_Bacteroidia","Class_Bacteroidia","Class_Bacteroidia","Class_Bacteroidia"
"sq89",1.14059576745814,30,7.25082994947618,4.13745739577954,3.51175628282664e-05,0.000873549375353127,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Tepidimonas","Genus_Tepidimonas"
"sq99",1.96696995232437,30,6.0776427105433,4.93612432135192,7.96903194661344e-07,3.17167471475215e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Genus_Acinetobacter"
"sq120",3.3778148911676,26.3209555233261,7.14400086414647,3.68434383251867,0.000229292554314875,0.00506991314540669,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Asinibacterium","Genus_Asinibacterium"
