"","sqs","s.in","s.out","index","stat","p.value","s.in.x","s.out.x","index.x","stat.x","p.value.x","s.in.y","s.out.y","index.y","stat.y","p.value.y"
"1","sq126",1,0,1,0.398087562269244,0.019,1,0,1,0.398087562269244,0.033,1,0,1,0.398087562269244,0.035
"2","sq162",0,1,2,0.418601003768122,0.036,0,1,2,0.418601003768122,0.033,0,1,2,0.418601003768122,0.032
"3","sq184",0,1,2,0.379918353904886,0.042,0,1,2,0.379918353904886,0.043,0,1,2,0.379918353904886,0.042
"4","sq29",0,1,2,0.349039846576986,0.042,0,1,2,0.349039846576986,0.026,0,1,2,0.349039846576986,0.047
"5","sq30",1,0,1,0.546439414531369,0.006,1,0,1,0.546439414531369,0.004,1,0,1,0.546439414531369,0.005
"6","sq50",0,1,2,0.381146041149795,0.025,0,1,2,0.381146041149795,0.027,0,1,2,0.381146041149795,0.025
"7","sq52",1,0,1,0.403473292392964,0.013,1,0,1,0.403473292392964,0.011,1,0,1,0.403473292392964,0.009
"8","sq59",0,1,2,0.394400972952855,0.02,0,1,2,0.394400972952855,0.02,0,1,2,0.394400972952855,0.015
"9","sq63",1,0,1,0.422663066218325,0.016,1,0,1,0.422663066218325,0.02,1,0,1,0.422663066218325,0.024
"10","sq65",0,1,2,0.439080975391648,0.008,0,1,2,0.439080975391648,0.014,0,1,2,0.439080975391648,0.007
"11","sq72",0,1,2,0.512963921981994,0.003,0,1,2,0.512963921981994,0.004,0,1,2,0.512963921981994,0.002
"12","sq75",1,0,1,0.526311228680436,0.001,1,0,1,0.526311228680436,0.002,1,0,1,0.526311228680436,0.001
"13","sq77",0,1,2,0.478432126886433,0.036,0,1,2,0.478432126886433,0.03,0,1,2,0.478432126886433,0.034
"14","sq83",1,0,1,0.45422619355955,0.018,1,0,1,0.45422619355955,0.01,1,0,1,0.45422619355955,0.019
"15","sq90",0,1,2,0.564127410100294,0.002,0,1,2,0.564127410100294,0.002,0,1,2,0.564127410100294,0.004
"16","sq93",0,1,2,0.478879086564836,0.003,0,1,2,0.478879086564836,0.001,0,1,2,0.478879086564836,0.003
