"","s.in","s.out","index","stat","p.value","sqs"
"sq5",1,0,1,0.968618335146302,0.003,"sq5"
"sq8",0,1,2,0.96179360423739,0.001,"sq8"
"sq14",0,1,2,0.747790098324823,0.019,"sq14"
"sq15",0,1,2,0.924100550614509,0.001,"sq15"
"sq20",0,1,2,0.847217040070103,0.023,"sq20"
"sq29",0,1,2,0.576746977207524,0.037,"sq29"
"sq38",0,1,2,0.822817939137927,0.016,"sq38"
"sq41",0,1,2,0.856348838577675,0.001,"sq41"
"sq47",0,1,2,0.753243577154709,0.015,"sq47"
"sq52",1,0,1,0.683130051063973,0.005,"sq52"
"sq53",0,1,2,0.807194680088547,0.004,"sq53"
"sq60",0,1,2,0.760251044968796,0.004,"sq60"
"sq72",0,1,2,0.847444888620159,0.001,"sq72"
"sq77",0,1,2,0.77772817302134,0.012,"sq77"
"sq88",1,0,1,0.574513149960142,0.041,"sq88"
"sq90",0,1,2,0.626731834832724,0.038,"sq90"
"sq93",0,1,2,0.683130051063973,0.007,"sq93"
"sq143",0,1,2,0.577350269189626,0.036,"sq143"
"sq171",0,1,2,0.569600249687835,0.037,"sq171"
"sq184",0,1,2,0.626883127975503,0.034,"sq184"
