"","s.in","s.out","index","stat","p.value","sqs"
"sq11",1,0,1,0.832039500114358,0.026,"sq11"
"sq13",1,0,1,0.876802692767886,0.029,"sq13"
"sq14",1,0,1,0.738572917575401,0.005,"sq14"
"sq15",1,0,1,0.782133763207283,0.004,"sq15"
"sq20",1,0,1,0.822190555445296,0.011,"sq20"
"sq22",1,0,1,0.752177134449979,0.034,"sq22"
"sq41",1,0,1,0.755928946018454,0.002,"sq41"
"sq48",0,1,2,0.554700196225229,0.035,"sq48"
"sq53",1,0,1,0.597614304667197,0.036,"sq53"
"sq59",0,1,2,0.733799385705343,0.002,"sq59"
"sq75",1,0,1,0.707106781186548,0.009,"sq75"
"sq88",0,1,2,0.72141625438205,0.011,"sq88"
"sq120",0,1,2,0.554700196225229,0.027,"sq120"
