,sample,island,direction,in_off,site,site_zone,sq1,sq105,sq118,sq12,sq3,sq33,sq6,sq66,sq7
1,101,Moorea,NW,Inner,MNW,MNWI,4508,0,0,49,291,0,0,0,0
2,113,Moorea,NW,Outer,MNW,MNWO,3018,0,0,33,338,0,61,0,0
3,115,Moorea,NW,Outer,MNW,MNWO,3490,0,0,44,502,0,0,0,0
4,116,Moorea,NW,Outer,MNW,MNWO,1677,0,0,52,791,0,1087,0,0
5,117,Moorea,NW,Outer,MNW,MNWO,1289,0,0,0,299,0,0,0,0
6,130,Moorea,NW,Outer,MNW,MNWO,6307,0,0,74,800,0,0,0,0
7,157,Moorea,NW,Outer,MNW,MNWO,1858,0,0,0,171,0,0,0,0
8,158,Moorea,NW,Outer,MNW,MNWO,3818,0,0,62,647,0,0,0,0
9,159,Moorea,NW,Outer,MNW,MNWO,4791,0,0,42,493,0,0,0,0
10,172,Moorea,NW,Outer,MNW,MNWO,7748,0,0,45,398,0,0,0,0
11,173,Moorea,NW,Outer,MNW,MNWO,3937,0,0,23,389,0,0,8,0
12,174,Moorea,NW,Outer,MNW,MNWO,2679,0,0,23,292,0,0,0,0
13,175,Moorea,NW,Outer,MNW,MNWO,3919,0,0,52,249,0,0,0,0
14,177,Moorea,NW,Outer,MNW,MNWO,3318,0,0,48,489,0,0,0,646
15,178,Moorea,NW,Outer,MNW,MNWO,95,0,0,0,26,0,57,0,1849
16,179,Moorea,NW,Outer,MNW,MNWO,4817,0,0,38,505,0,0,0,0
17,180,Moorea,NW,Outer,MNW,MNWO,5470,0,0,26,713,0,0,0,0
18,276,Moorea,SE,Inner,MSE,MSEI,2396,0,0,20,157,0,0,0,0
19,297,Moorea,SE,Inner,MSE,MSEI,3904,0,0,27,279,0,0,0,0
20,300,Moorea,SE,Inner,MSE,MSEI,6099,0,0,0,249,0,0,0,0
21,301,Moorea,SE,Inner,MSE,MSEI,3184,0,0,31,208,0,0,0,0
22,303,Moorea,SE,Inner,MSE,MSEI,2644,0,0,42,522,0,236,6,0
23,304,Moorea,SE,Inner,MSE,MSEI,4887,0,0,44,313,0,0,7,0
24,305,Moorea,SE,Inner,MSE,MSEI,2720,0,0,21,150,0,0,7,0
