,Sample,sq1,sq105,sq12,sq18,sq2,sq24,sq3,sq32,sq41,sq52,sq6,sq66,sq7,sq73,sq79,sq81,sq83
1,101,1530,0,15,22,285,0,142,0,0,0,0,0,0,0,0,0,0
2,113,1426,0,23,0,298,0,201,10,0,0,36,0,0,0,0,0,0
3,115,1361,0,24,0,323,0,286,0,0,0,0,0,0,0,0,0,0
4,116,536,0,25,50,341,0,459,0,0,0,583,0,0,0,0,0,0
5,130,1396,0,30,20,274,0,274,0,0,0,0,0,0,0,0,0,0
6,157,1560,0,0,0,268,0,166,0,0,0,0,0,0,0,0,0,0
7,158,1333,0,28,0,315,0,318,0,0,0,0,0,0,0,0,0,0
8,159,1468,0,20,0,288,0,218,0,0,0,0,0,0,0,0,0,0
9,172,1720,0,14,0,147,0,107,6,0,0,0,0,0,0,0,0,0
10,173,1562,0,11,0,207,0,204,0,0,0,0,3,0,0,0,7,0
11,174,1351,0,16,0,416,0,211,0,0,0,0,0,0,0,0,0,0
12,175,1321,0,17,0,520,0,136,0,0,0,0,0,0,0,0,0,0
13,177,911,0,24,27,490,0,241,18,0,0,0,0,283,0,0,0,0
14,178,95,0,0,0,0,0,26,0,0,0,55,0,1818,0,0,0,0
15,179,1476,0,18,28,255,0,217,0,0,0,0,0,0,0,0,0,0
16,180,1476,0,9,17,220,0,272,0,0,0,0,0,0,0,0,0,0
17,276,1558,0,13,0,291,0,132,0,0,0,0,0,0,0,0,0,0
18,297,1632,0,10,0,207,0,145,0,0,0,0,0,0,0,0,0,0
19,300,1759,0,0,0,153,0,82,0,0,0,0,0,0,0,0,0,0
20,301,1568,0,17,0,273,0,126,10,0,0,0,0,0,0,0,0,0
21,303,1183,0,27,0,354,0,299,0,0,0,127,4,0,0,0,0,0
22,304,1635,0,17,26,201,0,114,0,0,0,0,1,0,0,0,0,0
23,305,1605,0,15,0,264,0,105,0,0,0,0,5,0,0,0,0,0
24,307,1591,0,21,0,262,0,116,0,0,0,0,4,0,0,0,0,0
25,308,1694,0,9,0,209,0,81,0,0,0,0,1,0,0,0,0,0
26,310,1751,1,0,0,149,0,93,0,0,0,0,0,0,0,0,0,0
27,315,1513,0,0,0,302,0,165,14,0,0,0,0,0,0,0,0,0
28,316,1729,0,12,0,154,0,90,0,0,0,0,0,0,9,0,0,0
29,351,1459,0,21,0,343,0,171,0,0,0,0,0,0,0,0,0,0
30,377,1670,0,16,17,192,0,99,0,0,0,0,0,0,0,0,0,0
31,378,1608,0,23,0,193,0,170,0,0,0,0,0,0,0,0,0,0
32,380,0,0,0,0,0,0,0,0,0,0,0,0,1994,0,0,0,0
33,384,1217,0,13,20,274,20,362,10,76,0,0,2,0,0,0,0,0
34,386,1260,0,22,0,267,0,436,9,0,0,0,0,0,0,0,0,0
35,389,686,0,23,0,314,0,380,0,0,0,576,0,0,0,15,0,0
36,394,1491,0,16,0,227,0,257,0,0,0,0,3,0,0,0,0,0
37,397,1394,0,18,16,233,89,244,0,0,0,0,0,0,0,0,0,0
38,400,742,0,19,0,277,0,367,0,0,0,437,0,152,0,0,0,0
39,405,1052,0,37,45,508,54,298,0,0,0,0,0,0,0,0,0,0
40,408,724,0,13,0,175,0,539,11,52,0,475,0,0,0,0,5,0
41,409,1236,0,28,25,386,77,242,0,0,0,0,0,0,0,0,0,0
42,416,1313,0,15,0,276,43,347,0,0,0,0,0,0,0,0,0,0
43,418,1470,0,13,10,267,0,217,17,0,0,0,0,0,0,0,0,0
44,421,884,0,32,0,494,0,283,0,0,0,301,0,0,0,0,0,0
45,425,1140,0,25,0,332,40,420,5,0,0,32,0,0,0,0,0,0
46,427,1265,0,19,37,417,83,173,0,0,0,0,0,0,0,0,0,0
47,453,1260,0,33,0,285,47,363,6,0,0,0,0,0,0,0,0,0
48,455,1415,0,13,16,201,90,254,5,0,0,0,0,0,0,0,0,0
49,51,1674,0,14,17,164,0,122,0,0,0,0,3,0,0,0,0,0
50,511,1553,0,20,17,254,0,143,7,0,0,0,0,0,0,0,0,0
51,516,795,0,10,0,190,0,450,0,0,0,549,0,0,0,0,0,0
52,517,1329,0,15,0,238,62,342,0,0,0,0,0,3,0,0,0,5
53,525,599,0,22,0,321,0,292,14,0,0,743,0,3,0,0,0,0
54,526,812,0,19,19,313,0,818,13,0,0,0,0,0,0,0,0,0
55,527,399,0,0,0,139,36,110,0,0,0,0,0,1310,0,0,0,0
56,533,633,0,10,0,199,0,421,0,0,0,556,0,175,0,0,0,0
57,539,733,0,13,0,176,36,122,0,0,0,0,0,914,0,0,0,0
58,540,1617,0,13,0,177,0,140,0,0,0,0,0,47,0,0,0,0
59,545,750,0,14,0,359,0,493,0,0,0,378,0,0,0,0,0,0
60,55,1568,0,15,27,279,0,84,0,0,15,0,2,0,4,0,0,0
61,600,1653,0,17,13,155,0,140,0,0,15,0,0,1,0,0,0,0
62,604,1207,0,13,0,352,0,290,0,0,0,132,0,0,0,0,0,0
63,607,1605,0,11,18,205,0,155,0,0,0,0,0,0,0,0,0,0
64,608,1195,0,23,29,233,0,476,4,0,0,34,0,0,0,0,0,0
65,609,1472,0,19,14,263,0,226,0,0,0,0,0,0,0,0,0,0
66,612,1503,0,20,26,249,0,196,0,0,0,0,0,0,0,0,0,0
67,614,1490,0,10,14,196,0,284,0,0,0,0,0,0,0,0,0,0
68,616,1169,0,24,24,379,0,383,15,0,0,0,0,0,0,0,0,0
69,617,1481,0,25,0,245,0,230,10,0,0,0,3,0,0,0,0,0
70,618,1160,0,17,26,302,0,317,16,0,0,156,0,0,0,0,0,0
71,619,1483,0,8,0,254,0,249,0,0,0,0,0,0,0,0,0,0
72,62,1635,0,0,0,237,0,119,0,0,0,0,3,0,0,0,0,0
73,626,1591,0,11,0,241,0,144,7,0,0,0,0,0,0,0,0,0
74,627,1730,0,5,0,100,0,144,0,0,15,0,0,0,0,0,0,0
75,63,1617,0,13,0,224,0,140,0,0,0,0,0,0,0,0,0,0
76,630,1581,0,10,0,208,0,185,10,0,0,0,0,0,0,0,0,0
77,632,1206,0,29,21,318,0,410,10,0,0,0,0,0,0,0,0,0
78,633,1560,0,18,0,270,0,146,0,0,0,0,0,0,0,0,0,0
79,65,1546,0,25,0,282,0,128,11,0,0,0,2,0,0,0,0,0
80,70,1195,0,31,35,521,0,191,16,0,0,0,3,2,0,0,0,0
81,73,1500,0,14,13,266,0,201,0,0,0,0,0,0,0,0,0,0
82,89,1610,0,24,0,261,0,92,0,0,0,0,0,7,0,0,0,0
83,96,1684,0,7,0,224,0,79,0,0,0,0,0,0,0,0,0,0
84,97,1752,0,0,0,150,0,82,10,0,0,0,0,0,0,0,0,0
85,98,1355,0,19,0,194,0,78,0,0,0,0,0,348,0,0,0,0
