,input,filtered,denoised,merged,tabled,nonchim
101,5532,5011,4992,4853,4848,4848
113,3920,3513,3511,3453,3450,3450
115,4689,4147,4146,4043,4036,4036
116,4240,3695,3685,3608,3608,3607
117,2003,1610,1596,1588,1588,1588
130,8402,7481,7432,7189,7184,7181
157,2535,2092,2082,2029,2029,2029
158,5273,4773,4716,4530,4527,4527
159,6364,5513,5478,5330,5326,5326
172,9177,8276,8269,8199,8195,8191
173,4903,4445,4390,4357,4357,4357
174,3468,3094,3090,2998,2994,2994
175,4967,4438,4392,4221,4221,4220
177,6673,4606,4603,4506,4501,4501
178,5417,2055,2055,2027,2027,2027
179,6248,5488,5448,5365,5361,5360
180,7103,6367,6357,6218,6210,6209
276,2962,2619,2615,2573,2573,2573
297,4706,4254,4239,4210,4210,4210
300,7170,6495,6484,6353,6351,6348
301,4360,3542,3530,3423,3423,3423
303,3959,3577,3524,3452,3450,3450
304,5912,5388,5366,5256,5253,5251
305,3264,2925,2923,2898,2898,2898
307,2960,2649,2635,2599,2599,2599
308,3763,3380,3354,3286,3286,3286
310,6351,5711,5705,5654,5654,5646
311,1565,1408,1407,1371,1371,1371
315,2496,2191,2154,2127,2125,2125
316,7526,6672,6661,6604,6601,6601
351,3458,3128,3126,3059,3059,3059
377,5760,5159,5152,5054,5054,5052
378,3514,2510,2460,2435,2435,2435
380,5921,2314,2307,2285,2285,2285
384,7157,6502,6482,6205,6199,6199
386,3914,3345,3338,3156,3156,3156
389,4519,4060,4058,3919,3919,3918
394,3526,3130,3114,3059,3059,3059
397,6080,5382,5378,5297,5292,5289
400,6214,5008,5002,4827,4823,4822
402,1163,901,900,893,893,893
405,3408,3044,3043,2975,2971,2970
408,7553,6734,6702,6434,6434,6434
409,6056,5418,5395,5341,5339,5336
414,3310,1478,1476,1307,1307,1307
416,4880,4402,4371,4240,4234,4232
418,8387,7665,7602,7427,7421,7419
421,2298,2079,2069,1994,1994,1994
425,6437,5769,5700,5537,5530,5529
427,3997,3628,3595,3499,3495,3491
453,5059,4372,4372,4193,4189,4186
455,9486,8513,8495,8290,8282,8277
505,1237,893,893,888,888,888
51,10418,9365,9339,9124,9120,9114
511,12477,11133,11126,10892,10888,10826
513,293,226,226,222,222,222
516,9786,8898,8804,8599,8599,8598
517,7461,6611,6587,6309,6303,6300
525,5542,5032,4958,4808,4808,4808
526,8452,7734,7684,7324,7318,7245
527,5674,3256,3253,3203,3203,3203
530,2825,738,721,627,627,627
533,6089,5017,5015,4860,4853,4853
539,4925,3047,3040,2820,2820,2819
540,4093,3428,3428,3359,3357,3357
545,3957,3456,3439,3318,3318,3318
55,9644,8704,8665,8493,8493,8488
58,3293,1087,1085,1019,1019,1019
600,14196,12677,12635,12447,12445,12436
604,4667,4173,4170,4021,4021,4004
607,9794,8979,8870,8748,8744,8743
608,9324,7887,7863,7527,7524,7522
609,11699,10623,10548,10290,10284,10283
612,8323,7564,7519,7305,7301,7298
614,9126,8148,8144,7919,7911,7843
616,10018,9008,8931,8638,8623,8544
617,6000,5485,5483,5369,5369,5369
618,8482,7493,7471,7130,7127,7050
619,5779,5058,5055,5007,4997,4994
62,5013,4459,4433,4342,4339,4339
626,7327,6415,6392,6213,6209,6209
627,11305,10206,10183,10020,10018,10013
63,6710,6017,5936,5848,5839,5839
630,7339,6530,6510,6428,6428,6428
632,5488,5005,5003,4868,4862,4860
633,4061,3297,3269,3201,3201,3201
65,4278,3793,3784,3650,3650,3650
70,5807,5164,5128,4976,4976,4975
72,2276,1856,1848,1786,1786,1786
73,11408,10177,10132,9823,9815,9812
76,301,209,209,209,209,209
87,23,20,20,0,0,0
89,3384,2890,2889,2836,2834,2834
96,4660,4153,4130,4080,4080,4080
97,4263,3855,3837,3794,3794,3793
98,3165,2079,2079,2030,2030,2030
