sample,counts1,counts2,counts3,counts4,counts5,counts6
101,5536,5532,5011,4992,4853,4848
113,3925,3920,3513,3511,3453,3450
115,4692,4689,4147,4146,4043,4036
116,4240,4240,3695,3685,3608,3607
117,2007,2003,1610,1596,1588,1588
130,8409,8402,7481,7432,7189,7181
157,2540,2535,2092,2082,2029,2029
158,5275,5273,4773,4716,4530,4527
159,6368,6364,5513,5478,5330,5326
172,9182,9177,8276,8269,8199,8191
173,4904,4903,4445,4390,4357,4357
174,3469,3468,3094,3090,2998,2994
175,4969,4967,4438,4392,4221,4220
177,6674,6673,4606,4603,4506,4501
178,5423,5417,2055,2055,2027,2027
179,6256,6248,5488,5448,5365,5360
180,7107,7103,6367,6357,6218,6209
276,2965,2962,2619,2615,2573,2573
297,4706,4706,4254,4239,4210,4210
300,7173,7170,6495,6484,6353,6348
301,4362,4360,3542,3530,3423,3423
303,3961,3959,3577,3524,3452,3450
304,5914,5912,5388,5366,5256,5251
305,3266,3264,2925,2923,2898,2898
307,2963,2960,2649,2635,2599,2599
308,3765,3763,3380,3354,3286,3286
310,6353,6351,5711,5705,5654,5646
311,1565,1565,1408,1407,1371,1371
315,2499,2496,2191,2154,2127,2125
316,7528,7526,6672,6661,6604,6601
351,3459,3458,3128,3126,3059,3059
377,5762,5760,5159,5152,5054,5052
378,3515,3514,2510,2460,2435,2435
380,5923,5921,2314,2307,2285,2285
384,7162,7157,6502,6482,6205,6199
386,3919,3914,3345,3338,3156,3156
389,4521,4519,4060,4058,3919,3918
394,3531,3526,3130,3114,3059,3059
397,6086,6080,5382,5378,5297,5289
400,6217,6214,5008,5002,4827,4822
402,1166,1163,901,900,893,893
405,3410,3408,3044,3043,2975,2970
408,7553,7553,6734,6702,6434,6434
409,6058,6056,5418,5395,5341,5336
414,3313,3310,1478,1476,1307,1307
416,4883,4880,4402,4371,4240,4232
418,8387,8387,7665,7602,7427,7419
421,2302,2298,2079,2069,1994,1994
425,6438,6437,5769,5700,5537,5529
427,4000,3997,3628,3595,3499,3491
453,5060,5059,4372,4372,4193,4186
455,9490,9486,8513,8495,8290,8277
505,1251,1237,893,893,888,888
51,10433,10418,9365,9339,9124,9114
511,12480,12477,11133,11126,10892,10826
513,299,293,226,226,222,222
516,9788,9786,8898,8804,8599,8598
517,7463,7461,6611,6587,6309,6300
525,5547,5542,5032,4958,4808,4808
526,8455,8452,7734,7684,7324,7245
527,5676,5674,3256,3253,3203,3203
530,2828,2825,738,721,627,627
533,6091,6089,5017,5015,4860,4853
539,4927,4925,3047,3040,2820,2819
540,4095,4093,3428,3428,3359,3357
545,3960,3957,3456,3439,3318,3318
55,9652,9644,8704,8665,8493,8488
58,3295,3293,1087,1085,1019,1019
600,14208,14196,12677,12635,12447,12436
604,4672,4667,4173,4170,4021,4004
607,9811,9794,8979,8870,8748,8743
608,9335,9324,7887,7863,7527,7522
609,11704,11699,10623,10548,10290,10283
612,8327,8323,7564,7519,7305,7298
614,9136,9126,8148,8144,7919,7843
616,10022,10018,9008,8931,8638,8544
617,6002,6000,5485,5483,5369,5369
618,8492,8482,7493,7471,7130,7050
619,5782,5779,5058,5055,5007,4994
62,5016,5013,4459,4433,4342,4339
626,7344,7327,6415,6392,6213,6209
627,11310,11305,10206,10183,10020,10013
63,6713,6710,6017,5936,5848,5839
630,7346,7339,6530,6510,6428,6428
632,5489,5488,5005,5003,4868,4860
633,4064,4061,3297,3269,3201,3201
65,4280,4278,3793,3784,3650,3650
70,5808,5807,5164,5128,4976,4975
72,2280,2276,1856,1848,1786,1786
73,11410,11408,10177,10132,9823,9812
76,304,301,209,209,209,209
87,23,23,20,20,0,0
89,3387,3384,2890,2889,2836,2834
96,4662,4660,4153,4130,4080,4080
97,4264,4263,3855,3837,3794,3793
98,3165,3165,2079,2079,2030,2030
