"","sq1","sq105","sq109","sq12","sq18","sq2","sq24","sq3","sq32","sq33","sq41","sq52","sq6","sq66","sq7","sq73","sq79","sq81","sq83"
"101",3754,0,0,49,53,685,0,307,0,0,0,0,0,0,0,0,0,0,0
"113",2448,0,0,33,0,529,0,353,26,0,0,0,61,0,0,0,0,0,0
"115",2765,0,0,44,0,647,0,580,0,0,0,0,0,0,0,0,0,0,0
"116",997,0,0,52,78,591,0,802,0,0,0,0,1087,0,0,0,0,0,0
"117",987,0,0,0,0,242,0,359,0,0,0,0,0,0,0,0,0,0,0
"130",5150,0,0,74,61,891,0,1005,0,0,0,0,0,0,0,0,0,0,0
"157",1581,0,0,0,0,273,0,175,0,0,0,0,0,0,0,0,0,0,0
"158",3071,0,0,62,0,697,0,697,0,0,0,0,0,0,0,0,0,0,0
"159",3935,0,0,42,0,761,0,588,0,0,0,0,0,0,0,0,0,0,0
"172",7017,0,0,45,0,643,0,456,30,0,0,0,0,0,0,0,0,0,0
"173",3380,0,0,23,0,476,0,459,0,0,0,0,0,8,0,0,0,11,0
"174",2053,0,0,23,0,604,0,314,0,0,0,0,0,0,0,0,0,0,0
"175",2767,0,0,52,0,1098,0,303,0,0,0,0,0,0,0,0,0,0,0
"177",2095,0,0,48,66,1064,0,548,34,0,0,0,0,0,646,0,0,0,0
"178",95,0,0,0,0,0,0,26,0,0,0,0,57,0,1849,0,0,0,0
"179",3945,0,0,38,84,726,0,567,0,0,0,0,0,0,0,0,0,0,0
"180",4615,0,0,26,48,659,0,861,0,0,0,0,0,0,0,0,0,0,0
"276",2007,0,0,20,0,381,0,165,0,0,0,0,0,0,0,0,0,0,0
"297",3434,0,0,27,0,411,0,338,0,0,0,0,0,0,0,0,0,0,0
"300",5609,0,0,0,0,477,0,262,0,0,0,0,0,0,0,0,0,0,0
"301",2714,0,0,31,0,441,0,220,17,0,0,0,0,0,0,0,0,0,0
"303",2033,0,0,42,0,600,0,533,0,0,0,0,236,6,0,0,0,0,0
"304",4248,0,0,44,61,561,0,330,0,0,0,0,0,7,0,0,0,0,0
"305",2333,0,0,21,0,385,0,152,0,0,0,0,0,7,0,0,0,0,0
"307",2070,0,0,31,0,345,0,149,0,0,0,0,0,4,0,0,0,0,0
"308",2804,0,0,19,0,319,0,142,0,0,0,0,0,2,0,0,0,0,0
"310",4967,2,0,0,0,376,0,301,0,0,0,0,0,0,0,0,0,0,0
"311",944,0,0,14,0,312,0,86,15,0,0,0,0,0,0,0,0,0,0
"315",1612,0,0,0,0,324,0,175,14,0,0,0,0,0,0,0,0,0,0
"316",5676,0,0,53,0,520,0,323,0,0,0,0,0,0,0,29,0,0,0
"351",2203,0,0,29,0,556,0,271,0,0,0,0,0,0,0,0,0,0,0
"377",4190,0,0,37,60,497,0,268,0,0,0,0,0,0,0,0,0,0,0
"378",1952,0,0,24,0,241,0,218,0,0,0,0,0,0,0,0,0,0,0
"380",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2285,0,0,0,0
"384",3662,0,0,46,61,882,79,1192,32,0,239,0,0,6,0,0,0,0,0
"386",1973,0,0,34,0,438,0,697,14,0,0,0,0,0,0,0,0,0,0
"389",1323,0,0,53,0,639,0,783,0,0,0,0,1092,0,0,0,28,0,0
"394",2256,0,0,31,0,340,0,428,0,0,0,0,0,4,0,0,0,0,0
"397",3695,0,0,48,45,607,222,672,0,0,0,0,0,0,0,0,0,0,0
"400",1835,0,0,44,0,680,0,874,0,0,0,0,1055,0,334,0,0,0,0
"402",335,0,0,0,0,120,0,167,0,0,0,0,271,0,0,0,0,0,0
"405",1580,0,0,47,71,739,84,449,0,0,0,0,0,0,0,0,0,0,0
"408",2318,0,0,47,0,572,0,1688,26,0,171,0,1601,0,0,0,0,11,0
"409",3268,0,0,69,72,1084,191,652,0,0,0,0,0,0,0,0,0,0,0
"414",793,0,0,0,0,149,0,276,0,0,0,0,89,0,0,0,0,0,0
"416",2747,0,0,39,0,595,98,753,0,0,0,0,0,0,0,0,0,0,0
"418",5327,0,0,63,62,1126,0,789,52,0,0,0,0,0,0,0,0,0,0
"421",884,0,0,32,0,494,0,283,0,0,0,0,301,0,0,0,0,0,0
"425",3220,0,0,57,0,877,117,1141,21,0,0,0,96,0,0,0,0,0,0
"427",2227,0,0,42,56,708,144,314,0,0,0,0,0,0,0,0,0,0,0
"453",2656,0,0,67,0,601,119,719,24,0,0,0,0,0,0,0,0,0,0
"455",5728,0,0,61,63,982,369,1032,42,0,0,0,0,0,0,0,0,0,0
"505",712,0,0,0,0,102,0,74,0,0,0,0,0,0,0,0,0,0,0
"51",7719,0,0,55,51,793,0,490,0,0,0,0,0,6,0,0,0,0,0
"511",8476,0,2,75,104,1340,0,787,42,0,0,0,0,0,0,0,0,0,0
"513",129,0,0,0,0,65,0,28,0,0,0,0,0,0,0,0,0,0,0
"516",3257,0,0,58,0,832,0,1925,0,0,0,0,2526,0,0,0,0,0,0
"517",4086,0,0,42,0,748,198,1202,0,0,0,0,0,0,4,0,0,0,20
