"","Sample","Observed","Shannon","InvSimpson","Site","X.DNA...ng.ul.","island","direction","zone","site","site_zone","DNAcon","zoox","obs.norm"
"1","101",5,0.74178578664439,1.6041510664119,"Moorea NW Inner",304,"Moorea","NW","Backreef","MNW","MNW-B",304.2,"y",-0.162911348622918
"2","113",6,0.905666435317427,1.81810682652693,"Moorea NW Outer",379,"Moorea","NW","Forereef","MNW","MNW-F",379,"y",0.62890421763219
"3","115",4,0.88528089492393,1.94102008078398,"Moorea NW Outer",407,"Moorea","NW","Forereef","MNW","MNW-F",407,"y",-1.04913139796397
"4","116",6,1.48496405921372,4.08216410233244,"Moorea NW Outer",670,"Moorea","NW","Forereef","MNW","MNW-F",670,"y",0.62890421763219
"5","130",5,0.843583006111692,1.79463366063135,"Moorea NW Outer",200,"Moorea","NW","Forereef","MNW","MNW-F",200,"y",-0.162911348622918
"6","157",3,0.677816670289651,1.58368815964834,"Moorea NW Outer",725,"Moorea","NW","Forereef","MNW","MNW-F",725,"y",-1.98577040318109
"7","158",4,0.896180393847981,1.97644590920162,"Moorea NW Outer",444,"Moorea","NW","Forereef","MNW","MNW-F",444,"y",-1.04913139796397
"8","159",4,0.767534795471812,1.6999147485081,"Moorea NW Outer",180,"Moorea","NW","Forereef","MNW","MNW-F",180,"y",-1.04913139796397
"9","172",5,0.568021139116747,1.36692162136889,"Moorea NW Outer",474,"Moorea","NW","Forereef","MNW","MNW-F",474,"y",-0.162911348622918
"10","173",6,0.693898975011174,1.55763063646813,"Moorea NW Outer",230,"Moorea","NW","Forereef","MNW","MNW-F",230,"y",0.62890421763219
"11","174",4,0.847599712826329,1.8958909700904,"Moorea NW Outer",538,"Moorea","NW","Forereef","MNW","MNW-F",538,"y",-1.04913139796397
"12","175",4,0.873142470039885,2.00055145486473,"Moorea NW Outer",207,"Moorea","NW","Forereef","MNW","MNW-F",207,"y",-1.04913139796397
"13","177",7,1.36882640490627,3.19293128674929,"Moorea NW Outer",190,"Moorea","NW","Forereef","MNW","MNW-F",190,"y",1.31581752981539
"14","178",4,0.378293591602091,1.19336046182872,"Moorea NW Outer",319,"Moorea","NW","Forereef","MNW","MNW-F",319,"y",-1.04913139796397
"15","179",5,0.841640226778343,1.75986239912751,"Moorea NW Outer",247,"Moorea","NW","Forereef","MNW","MNW-F",247,"y",-0.162911348622918
"16","180",5,0.809428983963543,1.75728009447505,"Moorea NW Outer",285,"Moorea","NW","Forereef","MNW","MNW-F",285,"y",-0.162911348622918
"17","276",4,0.69754420876505,1.58747186215631,"Moorea SE Inner",222,"Moorea","SE","Backreef","MSE","MSE-B",221.6,"y",-1.04913139796397
"18","297",4,0.635698452916979,1.4836010582129,"Moorea SE Inner",91,"Moorea","SE","Backreef","MSE","MSE-B",91.1,"y",-1.04913139796397
"19","300",3,0.442497715425703,1.27549638366686,"Moorea SE Inner",114,"Moorea","SE","Backreef","MSE","MSE-B",113.6,"y",-1.98577040318109
"20","301",5,0.685887477665201,1.52877539893525,"Moorea SE Inner",87,"Moorea","SE","Backreef","MSE","MSE-B",87.1,"y",-0.162911348622918
"21","303",6,1.15958912880845,2.482967844109,"Moorea SE Inner",122,"Moorea","SE","Backreef","MSE","MSE-B",122.4,"y",0.62890421763219
"22","304",6,0.701391425493726,1.50998762702428,"Moorea SE Inner",88,"Moorea","SE","Backreef","MSE","MSE-B",88.3,"y",0.62890421763219
"23","305",5,0.6495618506935,1.49669833444882,"Moorea SE Inner",133,"Moorea","SE","Backreef","MSE","MSE-B",132.5,"y",-0.162911348622918
"24","307",5,0.670242777404714,1.51477386413943,"Moorea SE Inner",137,"Moorea","SE","Backreef","MSE","MSE-B",137.2,"y",-0.162911348622918
