"","Shannon","InvSimpson","site","zone","site_zone"
"101",1.81354022514673,3.50709159641721,"MNW","Backreef","MNW-B"
"113",1.70295974409775,3.44652350672365,"MNW","Forereef","MNW-F"
"115",1.71306044843057,3.7106218578513,"MNW","Forereef","MNW-F"
"116",1.90518684924426,5.13281499345697,"MNW","Forereef","MNW-F"
"117",1.55930031135827,3.85557111666962,"MNW","Forereef","MNW-F"
"130",1.97651032871455,3.89083232296374,"MNW","Forereef","MNW-F"
"157",1.48995714854144,3.06768390234597,"MNW","Forereef","MNW-F"
"158",1.72051232859504,3.77439470111736,"MNW","Forereef","MNW-F"
"159",1.75218129169536,3.39677315677214,"MNW","Forereef","MNW-F"
"172",1.72919661109369,2.86748593353346,"MNW","Forereef","MNW-F"
"173",1.62102235990363,2.9879079394185,"MNW","Forereef","MNW-F"
"174",1.59683435494061,3.53013758187334,"MNW","Forereef","MNW-F"
"175",1.93383729968793,4.00369245102399,"MNW","Forereef","MNW-F"
"177",2.00929918688295,5.4413940217457,"MNW","Forereef","MNW-F"
"178",0.62869854999055,1.35966752960012,"MNW","Forereef","MNW-F"
"179",1.79199872862599,3.53465001802414,"MNW","Forereef","MNW-F"
"180",1.81792976695369,3.76669631365451,"MNW","Forereef","MNW-F"
"276",1.66845033588818,3.2903843544532,"MSE","Backreef","MSE-B"
"297",1.57051991995252,2.72012908723026,"MSE","Backreef","MSE-B"
"300",1.70968575060119,2.89314108285633,"MSE","Backreef","MSE-B"
"301",1.67731155469704,3.21135368545974,"MSE","Backreef","MSE-B"
"303",2.19426531491944,6.91844115503237,"MSE","Backreef","MSE-B"
"304",1.8131683173428,3.36466154908168,"MSE","Backreef","MSE-B"
"305",1.59470394388208,3.13313894231989,"MSE","Backreef","MSE-B"
"307",1.39765283246503,2.65604832066348,"MSE","Backreef","MSE-B"
"308",1.57921556311503,2.71836337234478,"MSE","Backreef","MSE-B"
"310",1.71624961367021,2.98102829073196,"MSE","Backreef","MSE-B"
"311",1.33722308101364,2.86929104289646,"MSE","Backreef","MSE-B"
"315",1.52478243570592,3.09104979152848,"MSE","Backreef","MSE-B"
"316",1.795638340975,3.07365031200867,"MSE","Backreef","MSE-B"
"351",1.58615802526676,3.16681134362079,"MSE","Backreef","MSE-B"
"377",1.73892900508897,3.16618397400828,"MSE","Backreef","MSE-B"
"378",1.5658031727661,2.9980694560953,"MSE","Backreef","MSE-B"
"380",0.193001864641556,1.10089136519617,"TNW","Backreef","TNW-B"
"384",2.3858388066556,6.56966856406254,"TNW","Forereef","TNW-F"
"386",1.98449375017804,5.28662857167121,"TNW","Forereef","TNW-F"
"389",1.67189456148429,4.46565996723204,"TNW","Forereef","TNW-F"
"394",1.7400473730536,3.75500993379211,"TNW","Forereef","TNW-F"
"397",2.15656307828819,4.96646522198655,"TNW","Forereef","TNW-F"
"400",2.03430684626292,5.9606711357781,"TNW","Forereef","TNW-F"
"402",1.32977037843214,3.51344004300109,"TNW","Forereef","TNW-F"
"405",2.0603618870844,5.66840514294234,"TNW","Forereef","TNW-F"
"408",1.99808143190126,5.10868587602917,"TNW","Forereef","TNW-F"
"409",2.34144324850694,6.21207214259564,"TNW","Forereef","TNW-F"
"414",1.10444341381666,2.34710522374627,"TNW","Forereef","TNW-F"
"416",2.23628162038899,5.87174231485962,"TNW","Forereef","TNW-F"
"418",1.8937297846629,3.67795087548986,"TNW","Forereef","TNW-F"
"421",1.66370525485987,4.22483662908693,"TNW","Forereef","TNW-F"
"425",2.35715724634916,6.51038973734051,"TNW","Forereef","TNW-F"
"427",2.02511519641502,4.91065860088864,"TNW","Forereef","TNW-F"
"453",2.20471268744427,5.69723796425448,"TNW","Backreef","TNW-B"
"455",2.18718527070512,5.20125960734355,"TNW","Backreef","TNW-B"
"505",0.632756070945514,1.50823986657078,"TNW","Backreef","TNW-B"
"51",1.78832058062518,3.11768395161928,"MNW","Backreef","MNW-B"
"511",1.76465031045616,2.91375371950096,"TNW","Backreef","TNW-B"
"513",0.936223782814722,2.27639722863741,"TNW","Backreef","TNW-B"
"516",1.90080222181838,4.69704119003022,"TNW","Backreef","TNW-B"
