,Sample,zone,site,site_zone,sq1,sq105,sq109,sq12,sq18,sq2,sq24,sq3,sq32,sq33,sq41,sq52,sq6,sq66,sq7,sq73,sq79,sq81,sq83
1,101,Backreef,MNW,MNW-B,1543,0,0,23,15,283,0,130,0,0,0,0,0,0,0,0,0,0,0
2,113,Forereef,MNW,MNW-F,1437,0,0,23,0,284,0,198,16,0,0,0,36,0,0,0,0,0,0
3,115,Forereef,MNW,MNW-F,1366,0,0,25,0,306,0,297,0,0,0,0,0,0,0,0,0,0,0
4,116,Forereef,MNW,MNW-F,535,0,0,26,40,328,0,459,0,0,0,0,606,0,0,0,0,0,0
5,130,Forereef,MNW,MNW-F,1442,0,0,16,17,238,0,281,0,0,0,0,0,0,0,0,0,0,0
6,157,Forereef,MNW,MNW-F,1552,0,0,0,0,267,0,175,0,0,0,0,0,0,0,0,0,0,0
7,158,Forereef,MNW,MNW-F,1348,0,0,23,0,309,0,314,0,0,0,0,0,0,0,0,0,0,0
8,159,Forereef,MNW,MNW-F,1489,0,0,14,0,269,0,222,0,0,0,0,0,0,0,0,0,0,0
9,172,Forereef,MNW,MNW-F,1694,0,0,15,0,157,0,119,9,0,0,0,0,0,0,0,0,0,0
10,173,Forereef,MNW,MNW-F,1571,0,0,8,0,190,0,220,0,0,0,0,0,3,0,0,0,2,0
11,174,Forereef,MNW,MNW-F,1377,0,0,16,0,401,0,200,0,0,0,0,0,0,0,0,0,0,0
12,175,Forereef,MNW,MNW-F,1300,0,0,23,0,525,0,146,0,0,0,0,0,0,0,0,0,0,0
13,177,Forereef,MNW,MNW-F,938,0,0,23,29,486,0,234,14,0,0,0,0,0,270,0,0,0,0
14,178,Forereef,MNW,MNW-F,92,0,0,0,0,0,0,25,0,0,0,0,55,0,1822,0,0,0,0
15,179,Forereef,MNW,MNW-F,1462,0,0,15,35,287,0,195,0,0,0,0,0,0,0,0,0,0,0
16,180,Forereef,MNW,MNW-F,1459,0,0,6,15,229,0,285,0,0,0,0,0,0,0,0,0,0,0
17,276,Backreef,MSE,MSE-B,1548,0,0,17,0,304,0,125,0,0,0,0,0,0,0,0,0,0,0
18,297,Backreef,MSE,MSE-B,1616,0,0,10,0,203,0,165,0,0,0,0,0,0,0,0,0,0,0
19,300,Backreef,MSE,MSE-B,1757,0,0,0,0,151,0,86,0,0,0,0,0,0,0,0,0,0,0
20,301,Backreef,MSE,MSE-B,1588,0,0,16,0,247,0,133,10,0,0,0,0,0,0,0,0,0,0
21,303,Backreef,MSE,MSE-B,1166,0,0,25,0,361,0,306,0,0,0,0,131,5,0,0,0,0,0
22,304,Backreef,MSE,MSE-B,1603,0,0,18,22,209,0,138,0,0,0,0,0,4,0,0,0,0,0
23,305,Backreef,MSE,MSE-B,1605,0,0,13,0,262,0,108,0,0,0,0,0,6,0,0,0,0,0
24,307,Backreef,MSE,MSE-B,1595,0,0,24,0,261,0,110,0,0,0,0,0,4,0,0,0,0,0
25,308,Backreef,MSE,MSE-B,1713,0,0,13,0,182,0,86,0,0,0,0,0,0,0,0,0,0,0
26,310,Backreef,MSE,MSE-B,1743,1,0,0,0,134,0,116,0,0,0,0,0,0,0,0,0,0,0
27,315,Backreef,MSE,MSE-B,1519,0,0,0,0,298,0,163,14,0,0,0,0,0,0,0,0,0,0
28,316,Backreef,MSE,MSE-B,1711,0,0,15,0,153,0,107,0,0,0,0,0,0,0,8,0,0,0
29,351,Backreef,MSE,MSE-B,1436,0,0,21,0,364,0,173,0,0,0,0,0,0,0,0,0,0,0
