"","sq1","sq12","sq18","sq2","sq24","sq3","sq32","sq6","sq7"
"101",1543,23,15,283,0,130,0,0,0
"113",1437,23,0,284,0,198,16,36,0
"115",1366,25,0,306,0,297,0,0,0
"116",535,26,40,328,0,459,0,606,0
"130",1442,16,17,238,0,281,0,0,0
"157",1552,0,0,267,0,175,0,0,0
"158",1348,23,0,309,0,314,0,0,0
"159",1489,14,0,269,0,222,0,0,0
"172",1694,15,0,157,0,119,9,0,0
"173",1571,8,0,190,0,220,0,0,0
"174",1377,16,0,401,0,200,0,0,0
"175",1300,23,0,525,0,146,0,0,0
"177",938,23,29,486,0,234,14,0,270
"178",92,0,0,0,0,25,0,55,1822
"179",1462,15,35,287,0,195,0,0,0
"180",1459,6,15,229,0,285,0,0,0
"276",1548,17,0,304,0,125,0,0,0
"297",1616,10,0,203,0,165,0,0,0
"300",1757,0,0,151,0,86,0,0,0
"301",1588,16,0,247,0,133,10,0,0
"303",1166,25,0,361,0,306,0,131,0
"304",1603,18,22,209,0,138,0,0,0
"305",1605,13,0,262,0,108,0,0,0
"307",1595,24,0,261,0,110,0,0,0
"308",1713,13,0,182,0,86,0,0,0
"310",1743,0,0,134,0,116,0,0,0
"315",1519,0,0,298,0,163,14,0,0
"316",1711,15,0,153,0,107,0,0,0
"351",1436,21,0,364,0,173,0,0,0
"377",1644,18,24,195,0,113,0,0,0
"378",1604,18,0,192,0,180,0,0,0
"380",0,0,0,0,0,0,0,0,1994
"384",1193,15,15,292,22,373,15,0,0
"386",1237,21,0,294,0,434,8,0,0
"389",669,31,0,339,0,394,0,544,0
"394",1460,19,0,215,0,297,0,0,0
"397",1376,13,15,235,84,271,0,0,0
"400",754,22,0,282,0,385,0,421,130
"405",1068,29,49,487,57,304,0,0,0
"408",740,15,0,182,0,505,5,497,0
"409",1218,33,29,415,64,235,0,0,0
"416",1253,18,0,294,44,385,0,0,0
"418",1471,18,16,281,0,190,18,0,0
"421",884,32,0,494,0,283,0,301,0
"425",1176,20,0,302,46,406,8,36,0
"427",1282,21,31,407,77,176,0,0,0
"453",1268,30,0,290,54,340,12,0,0
"455",1388,16,17,224,91,248,10,0,0
"51",1707,8,8,178,0,93,0,0,0
"511",1578,16,19,217,0,161,3,0,0
"516",744,14,0,199,0,446,0,591,0
"517",1326,12,0,241,51,358,0,0,1
"525",591,24,0,328,0,304,12,729,6
"526",850,12,21,293,0,808,10,0,0
"527",382,0,0,139,30,117,0,0,1326
"533",676,14,0,214,0,411,0,534,145
"539",730,6,0,166,42,118,0,0,932
"540",1624,11,0,170,0,140,0,0,49
"545",759,21,0,356,0,480,0,378,0
"55",1570,12,28,275,0,87,0,0,0
"600",1615,18,19,182,0,146,0,0,3
"604",1199,22,0,353,0,290,0,130,0
"607",1578,14,14,200,0,188,0,0,0
"608",1239,19,18,202,0,460,10,46,0
"609",1473,15,13,288,0,205,0,0,0
"612",1510,22,26,252,0,184,0,0,0
"614",1486,13,11,221,0,263,0,0,0
"616",1207,38,19,340,0,375,15,0,0
"617",1472,25,0,247,0,242,7,0,0
"618",1192,13,32,303,0,302,16,136,0
"619",1480,15,0,259,0,240,0,0,0
"62",1672,0,0,201,0,119,0,0,0
"626",1591,13,0,241,0,140,9,0,0
"627",1700,4,0,118,0,160,0,0,0
"63",1640,11,0,208,0,135,0,0,0
"630",1627,11,0,171,0,171,14,0,0
"632",1174,32,25,335,0,416,12,0,0
"633",1550,16,0,272,0,156,0,0,0
"65",1549,28,0,281,0,124,10,0,0
"70",1253,23,31,488,0,186,11,0,1
"73",1546,14,22,237,0,175,0,0,0
"89",1594,21,0,278,0,94,0,0,7
"96",1701,8,0,209,0,76,0,0,0
"97",1740,0,0,158,0,87,9,0,0
"98",1353,18,0,196,0,79,0,0,348
